WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [1000, 10000, 100000, 1000000]
Parameter[arraySubSize]: [1, 16, 256]
Parameter[dataTweaker]: [IDENT_____, REVERSE___, SORT______, DITHER____, REVERSE___, REVERSE_FR, REVERSE_BA]
Parameter[distBuilder]: [SPIRAL, STAGGER, SAWTOTH, _RANDOM, PLATEAU, SHUFFLE]
Parameter[tSorter]: [BASELINE, DPQ_11, DPQ_19_11_12, DPQ_21_04_24, RADIX]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		1000	1	IDENT_____	SPIRAL	BASELINE 	0.0000732	0.0000725	0.0000007	109	0.0000716	0.0000745
>> Best		1000	1	IDENT_____	SPIRAL	DPQ_11   	0.0180396	0.0178497	0.0001899	109	0.0175686	0.0184621
>> Best		1000	1	IDENT_____	SPIRAL	DPQ_19_11_12	0.0154573	0.0151937	0.0002636	109	0.0149731	0.0163743
>> Best		1000	1	IDENT_____	SPIRAL	DPQ_21_04_24	0.0149665	0.0147220	0.0002446	109	0.0144670	0.0156373
>> Best		1000	1	IDENT_____	SPIRAL	RADIX    	0.0211660	0.0202543	0.0009117	109	0.0198486	0.0286803
>> Best		1000	1	IDENT_____	STAGGER	BASELINE 	0.0000730	0.0000724	0.0000006	109	0.0000716	0.0000739
>> Best		1000	1	IDENT_____	STAGGER	DPQ_11   	0.0034654	0.0034387	0.0000267	109	0.0034150	0.0035459
>> Best		1000	1	IDENT_____	STAGGER	DPQ_19_11_12	0.0034820	0.0034425	0.0000395	109	0.0034161	0.0036125
>> Best		1000	1	IDENT_____	STAGGER	DPQ_21_04_24	0.0034796	0.0034396	0.0000400	109	0.0034144	0.0036132
>> Best		1000	1	IDENT_____	STAGGER	RADIX    	0.0044952	0.0044755	0.0000197	109	0.0044500	0.0045981
>> Best		1000	1	IDENT_____	SAWTOTH	BASELINE 	0.0000732	0.0000725	0.0000007	109	0.0000716	0.0000745
>> Best		1000	1	IDENT_____	SAWTOTH	DPQ_11   	0.0006850	0.0006634	0.0000217	109	0.0006432	0.0006989
>> Best		1000	1	IDENT_____	SAWTOTH	DPQ_19_11_12	0.0004704	0.0004689	0.0000015	109	0.0004662	0.0004720
>> Best		1000	1	IDENT_____	SAWTOTH	DPQ_21_04_24	0.0004708	0.0004692	0.0000016	109	0.0004663	0.0004733
>> Best		1000	1	IDENT_____	SAWTOTH	RADIX    	0.0006529	0.0006420	0.0000109	109	0.0006276	0.0006781
>> Best		1000	1	IDENT_____	_RANDOM	BASELINE 	0.0000731	0.0000724	0.0000007	109	0.0000716	0.0000743
>> Best		1000	1	IDENT_____	_RANDOM	DPQ_11   	0.0006859	0.0006645	0.0000215	109	0.0006430	0.0006994
>> Best		1000	1	IDENT_____	_RANDOM	DPQ_19_11_12	0.0004793	0.0004743	0.0000050	109	0.0004677	0.0004856
>> Best		1000	1	IDENT_____	_RANDOM	DPQ_21_04_24	0.0004755	0.0004719	0.0000036	109	0.0004663	0.0004777
>> Best		1000	1	IDENT_____	_RANDOM	RADIX    	0.0006594	0.0006520	0.0000074	109	0.0006360	0.0006899
>> Best		1000	1	IDENT_____	PLATEAU	BASELINE 	0.0000731	0.0000724	0.0000007	109	0.0000716	0.0000746
>> Best		1000	1	IDENT_____	PLATEAU	DPQ_11   	0.0006925	0.0006711	0.0000213	109	0.0006495	0.0007060
>> Best		1000	1	IDENT_____	PLATEAU	DPQ_19_11_12	0.0005817	0.0005659	0.0000158	109	0.0005568	0.0006104
>> Best		1000	1	IDENT_____	PLATEAU	DPQ_21_04_24	0.0005831	0.0005668	0.0000162	109	0.0005559	0.0006105
>> Best		1000	1	IDENT_____	PLATEAU	RADIX    	0.0009610	0.0009473	0.0000136	109	0.0009313	0.0009940
>> Best		1000	1	IDENT_____	SHUFFLE	BASELINE 	0.0000730	0.0000724	0.0000006	109	0.0000716	0.0000738
>> Best		1000	1	IDENT_____	SHUFFLE	DPQ_11   	0.0006906	0.0006699	0.0000207	109	0.0006502	0.0007057
>> Best		1000	1	IDENT_____	SHUFFLE	DPQ_19_11_12	0.0005831	0.0005668	0.0000163	109	0.0005568	0.0006100
>> Best		1000	1	IDENT_____	SHUFFLE	DPQ_21_04_24	0.0005747	0.0005631	0.0000116	109	0.0005563	0.0006077
>> Best		1000	1	IDENT_____	SHUFFLE	RADIX    	0.0009593	0.0009469	0.0000124	109	0.0009330	0.0009941
>> Best		1000	1	REVERSE___	SPIRAL	BASELINE 	0.0000730	0.0000724	0.0000006	109	0.0000716	0.0000744
>> Best		1000	1	REVERSE___	SPIRAL	DPQ_11   	0.0114166	0.0112956	0.0001210	109	0.0111139	0.0117857
>> Best		1000	1	REVERSE___	SPIRAL	DPQ_19_11_12	0.0181025	0.0178727	0.0002297	109	0.0176143	0.0189624
>> Best		1000	1	REVERSE___	SPIRAL	DPQ_21_04_24	0.0168249	0.0166395	0.0001854	109	0.0163908	0.0173921
>> Best		1000	1	REVERSE___	SPIRAL	RADIX    	0.0204545	0.0201689	0.0002857	109	0.0198385	0.0214524
>> Best		1000	1	REVERSE___	STAGGER	BASELINE 	0.0000730	0.0000724	0.0000006	109	0.0000716	0.0000740
>> Best		1000	1	REVERSE___	STAGGER	DPQ_11   	0.0045850	0.0045552	0.0000298	109	0.0045266	0.0046824
>> Best		1000	1	REVERSE___	STAGGER	DPQ_19_11_12	0.0043338	0.0043100	0.0000237	109	0.0042886	0.0044435
