WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [100]
Parameter[arraySubSize]: [1, 4, 16, 64]
Parameter[dataTweaker]: [IDENT_____, REVERSE___, REVERSE_FR, REVERSE_BA, SORT______, DITHER____]
Parameter[distBuilder]: [STAGGER, SAWTOTH, _RANDOM, PLATEAU, SHUFFLE]
Parameter[tSorter]: [BASELINE, DPQ_11, DPQ_18_11_21, DPQ_19_01_05, DPQ_19_02_10]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		100	1	IDENT_____	STAGGER	BASELINE 	0.0000163	0.0000160	0.0000003	109	0.0000158	0.0000190
>> Best		100	1	IDENT_____	STAGGER	DPQ_11   	0.0007820	0.0007606	0.0000214	109	0.0007246	0.0007893
>> Best		100	1	IDENT_____	STAGGER	DPQ_18_11_21	0.0006688	0.0006507	0.0000180	109	0.0006314	0.0007467
>> Best		100	1	IDENT_____	STAGGER	DPQ_19_01_05	0.0006501	0.0006458	0.0000043	109	0.0006399	0.0006565
>> Best		100	1	IDENT_____	STAGGER	DPQ_19_02_10	0.0008199	0.0007945	0.0000254	109	0.0007796	0.0008506
>> Best		100	1	IDENT_____	SAWTOTH	BASELINE 	0.0000163	0.0000160	0.0000003	109	0.0000158	0.0000189
>> Best		100	1	IDENT_____	SAWTOTH	DPQ_11   	0.0000705	0.0000701	0.0000005	109	0.0000697	0.0000729
>> Best		100	1	IDENT_____	SAWTOTH	DPQ_18_11_21	0.0000697	0.0000690	0.0000006	109	0.0000679	0.0000716
>> Best		100	1	IDENT_____	SAWTOTH	DPQ_19_01_05	0.0000705	0.0000700	0.0000005	109	0.0000696	0.0000721
>> Best		100	1	IDENT_____	SAWTOTH	DPQ_19_02_10	0.0000514	0.0000509	0.0000005	109	0.0000504	0.0000529
>> Best		100	1	IDENT_____	_RANDOM	BASELINE 	0.0000163	0.0000160	0.0000003	109	0.0000158	0.0000189
>> Best		100	1	IDENT_____	_RANDOM	DPQ_11   	0.0000703	0.0000700	0.0000003	109	0.0000697	0.0000729
>> Best		100	1	IDENT_____	_RANDOM	DPQ_18_11_21	0.0000692	0.0000686	0.0000006	109	0.0000680	0.0000715
>> Best		100	1	IDENT_____	_RANDOM	DPQ_19_01_05	0.0000703	0.0000697	0.0000006	109	0.0000685	0.0000712
>> Best		100	1	IDENT_____	_RANDOM	DPQ_19_02_10	0.0000512	0.0000509	0.0000004	109	0.0000504	0.0000528
>> Best		100	1	IDENT_____	PLATEAU	BASELINE 	0.0000166	0.0000160	0.0000006	109	0.0000158	0.0000190
>> Best		100	1	IDENT_____	PLATEAU	DPQ_11   	0.0000774	0.0000767	0.0000006	109	0.0000758	0.0000793
>> Best		100	1	IDENT_____	PLATEAU	DPQ_18_11_21	0.0001059	0.0001053	0.0000005	109	0.0001043	0.0001078
>> Best		100	1	IDENT_____	PLATEAU	DPQ_19_01_05	0.0001125	0.0001095	0.0000030	109	0.0001054	0.0001166
>> Best		100	1	IDENT_____	PLATEAU	DPQ_19_02_10	0.0000650	0.0000643	0.0000007	109	0.0000634	0.0000667
>> Best		100	1	IDENT_____	SHUFFLE	BASELINE 	0.0000168	0.0000161	0.0000007	109	0.0000158	0.0000190
>> Best		100	1	IDENT_____	SHUFFLE	DPQ_11   	0.0001345	0.0001338	0.0000007	109	0.0001333	0.0001364
>> Best		100	1	IDENT_____	SHUFFLE	DPQ_18_11_21	0.0001572	0.0001551	0.0000020	109	0.0001525	0.0001594
>> Best		100	1	IDENT_____	SHUFFLE	DPQ_19_01_05	0.0001524	0.0001517	0.0000007	109	0.0001510	0.0001539
